component,cosine_score,EdgeAnnotation,EdgeScore,EdgeType,explained_intensity,interaction,mass_difference,name,node1,node2,property1,selected,shared interaction,shared name
-1,0.9089,C2H4,0.9089,Cosine,45854,-,-28.031,47669 (-) 45854,45854,47669,45854,FALSE,-,47669 (-) 45854
-1,0.7474,methanol (-H2O):CH2,0.7474,Cosine,5036,-,-14.016,5036 (-) 10105,5036,10105,5036,FALSE,-,5036 (-) 10105
-1,0.8913,H2N3:C2H4O,0.8913,Cosine,47809,-,44.026,47809 (-) 47902,47809,47902,47809,FALSE,-,47809 (-) 47902
-1,0.9511,,0.9511,Cosine,28868,-,0.036,28868 (-) 29569,28868,29569,28868,FALSE,-,28868 (-) 29569
-1,0.9666,,0.9666,Cosine,48002,-,132.079,48275 (-) 48002,48002,48275,48002,FALSE,-,48275 (-) 48002
-1,0.9696,H2N3:C2H4O,0.9696,Cosine,48193,-,44.026,48275 (-) 48193,48193,48275,48193,FALSE,-,48275 (-) 48193
-1,0.9626,H2N3:C2H4O,0.9626,Cosine,45426,-,-44.026,48275 (-) 45426,45426,48275,45426,FALSE,-,48275 (-) 45426
-1,0.959,,0.959,Cosine,45579,-,-88.053,48275 (-) 45579,45579,48275,45579,FALSE,-,48275 (-) 45579
-1,1,,1,Cosine,1,-,0,1264 (-) 1264,1264,1264,1,FALSE,-,1264 (-) 1264
-1,1,,1,Cosine,1,-,0,54393 (-) 54393,54393,54393,1,FALSE,-,54393 (-) 54393
-1,1,,1,Cosine,1,-,0,37501 (-) 37501,37501,37501,1,FALSE,-,37501 (-) 37501
-1,0.752,,0.752,Cosine,50780,-,-54.12,52200 (-) 50780,50780,52200,50780,FALSE,-,52200 (-) 50780
-1,0.794,,0.794,Cosine,50447,-,-154.136,52200 (-) 50447,50447,52200,50447,FALSE,-,52200 (-) 50447
-1,1,,1,Cosine,1,-,0,41589 (-) 41589,41589,41589,1,FALSE,-,41589 (-) 41589
-1,0.8647,,0.8647,Cosine,5355,-,0.036,23937 (-) 5355,5355,23937,5355,FALSE,-,23937 (-) 5355
-1,0.8675,CO,0.8675,Cosine,7659,-,27.995,23937 (-) 7659,7659,23937,7659,FALSE,-,23937 (-) 7659
-1,1,,1,Cosine,1,-,0,1723 (-) 1723,1723,1723,1,FALSE,-,1723 (-) 1723
-1,0.82,,0.82,Cosine,12277,-,17.034,12277 (-) 12968,12277,12968,12277,FALSE,-,12277 (-) 12968
-1,0.8551,,0.8551,Cosine,12277,-,0,12277 (-) 14939,12277,14939,12277,FALSE,-,12277 (-) 14939
-1,0.8425,C4H4,0.8425,Cosine,32348,-,52.031,32655 (-) 32348,32348,32655,32348,FALSE,-,32655 (-) 32348
-1,0.9135,,0.9135,Cosine,40902,-,0,40902 (-) 41784,40902,41784,40902,FALSE,-,40902 (-) 41784
-1,0.9047,,0.9047,Cosine,40089,-,0,40902 (-) 40089,40089,40902,40089,FALSE,-,40902 (-) 40089
-1,0.8263,CO,0.8263,Cosine,14103,-,-27.995,16745 (-) 14103,14103,16745,14103,FALSE,-,16745 (-) 14103
-1,0.7844,CO,0.7844,Cosine,10316,-,-27.995,16745 (-) 10316,10316,16745,10316,FALSE,-,16745 (-) 10316
-1,0.9522,,0.9522,Cosine,11640,-,-0.025,16745 (-) 11640,11640,16745,11640,FALSE,-,16745 (-) 11640
-1,0.9316,,0.9316,Cosine,50198,-,-0.102,50311 (-) 50198,50198,50311,50198,FALSE,-,50311 (-) 50198
-1,1,,1,Cosine,1,-,0,16027 (-) 16027,16027,16027,1,FALSE,-,16027 (-) 16027
-1,0.9694,,0.9694,Cosine,21333,-,-157.099,36567 (-) 21333,21333,36567,21333,FALSE,-,36567 (-) 21333
-1,0.9799,,0.9799,Cosine,27347,-,-116.084,36567 (-) 27347,27347,36567,27347,FALSE,-,36567 (-) 27347
-1,0.9764,,0.9764,Cosine,36567,-,-133.11,36567 (-) 41675,36567,41675,36567,FALSE,-,36567 (-) 41675
-1,1,,1,Cosine,1,-,0,35523 (-) 35523,35523,35523,1,FALSE,-,35523 (-) 35523
-1,1,,1,Cosine,1,-,0,10187 (-) 10187,10187,10187,1,FALSE,-,10187 (-) 10187
-1,0.922,H2N3:C2H4O,0.922,Cosine,25574,-,-44.026,25574 (-) 26213,25574,26213,25574,FALSE,-,25574 (-) 26213
-1,0.8332,H2N3:C2H4O,0.8332,Cosine,25574,-,44.026,25574 (-) 25760,25574,25760,25574,FALSE,-,25574 (-) 25760
-1,0.881,,0.881,Cosine,25574,-,-88.053,25574 (-) 27658,25574,27658,25574,FALSE,-,25574 (-) 27658
-1,0.9026,,0.9026,Cosine,26198,-,0,26198 (-) 37281,26198,37281,26198,FALSE,-,26198 (-) 37281
-1,0.818,,0.818,Cosine,34575,-,-0.006,34681 (-) 34575,34575,34681,34575,FALSE,-,34681 (-) 34575
-1,0.9014,CH4N3:C3H6O,0.9014,Cosine,40542,-,-58.042,40542 (-) 42811,40542,42811,40542,FALSE,-,40542 (-) 42811
-1,1,,1,Cosine,1,-,0,45535 (-) 45535,45535,45535,1,FALSE,-,45535 (-) 45535
-1,0.7976,H2,0.7976,Cosine,777,-,-2.016,1000 (-) 777,777,1000,777,FALSE,-,1000 (-) 777
-1,0.9068,,0.9068,Cosine,600,-,0,1000 (-) 600,600,1000,600,FALSE,-,1000 (-) 600
-1,0.9222,,0.9222,Cosine,34561,-,0,41478 (-) 34561,34561,41478,34561,FALSE,-,41478 (-) 34561
-1,0.953,H2N3:C2H4O,0.953,Cosine,6405,-,-44.026,6405 (-) 7253,6405,7253,6405,FALSE,-,6405 (-) 7253
-1,1,,1,Cosine,1,-,0,6474 (-) 6474,6474,6474,1,FALSE,-,6474 (-) 6474
-1,0.9245,,0.9245,Cosine,18302,-,0,19541 (-) 18302,18302,19541,18302,FALSE,-,19541 (-) 18302
-1,0.9457,,0.9457,Cosine,19541,-,0,19541 (-) 26865,19541,26865,19541,FALSE,-,19541 (-) 26865
-1,0.9041,,0.9041,Cosine,48907,-,-13.979,48907 (-) 49423,48907,49423,48907,FALSE,-,48907 (-) 49423
-1,0.9143,C3H8,0.9143,Cosine,48688,-,-44.062,48907 (-) 48688,48688,48907,48688,FALSE,-,48907 (-) 48688
-1,0.9216,,0.9216,Cosine,41175,-,-232.204,48907 (-) 41175,41175,48907,41175,FALSE,-,48907 (-) 41175
-1,0.9844,,0.9844,Cosine,16839,-,-88.052,17041 (-) 16839,16839,17041,16839,FALSE,-,17041 (-) 16839
-1,0.9883,H2N3:C2H4O,0.9883,Cosine,17041,-,44.026,17041 (-) 17572,17041,17572,17041,FALSE,-,17041 (-) 17572
-1,0.9811,H2N3:C2H4O,0.9811,Cosine,17041,-,-44.026,17041 (-) 18958,17041,18958,17041,FALSE,-,17041 (-) 18958
-1,1,,1,Cosine,1,-,0,17146 (-) 17146,17146,17146,1,FALSE,-,17146 (-) 17146
-1,1,,1,Cosine,1,-,0,1124 (-) 1124,1124,1124,1,FALSE,-,1124 (-) 1124
-1,0.9075,,0.9075,Cosine,44226,-,0,46478 (-) 44226,44226,46478,44226,FALSE,-,46478 (-) 44226
-1,0.8407,O,0.8407,Cosine,9999,-,15.995,13072 (-) 9999,9999,13072,9999,FALSE,-,13072 (-) 9999
-1,0.8318,,0.8318,Cosine,5068,-,0.032,5068 (-) 6617,5068,6617,5068,FALSE,-,5068 (-) 6617
-1,0.9402,C,0.9402,Cosine,6170,-,12,6329 (-) 6170,6170,6329,6170,FALSE,-,6329 (-) 6170
-1,0.9017,CO,0.9017,Cosine,3725,-,27.995,6329 (-) 3725,3725,6329,3725,FALSE,-,6329 (-) 3725
-1,0.9073,,0.9073,Cosine,729,-,1.979,6329 (-) 729,729,6329,729,FALSE,-,6329 (-) 729
-1,0.9124,H2,0.9124,Cosine,4535,-,-2.016,6329 (-) 4535,4535,6329,4535,FALSE,-,6329 (-) 4535
-1,0.9377,C,0.9377,Cosine,6329,-,-12,6329 (-) 7774,6329,7774,6329,FALSE,-,6329 (-) 7774
-1,0.9039,CO,0.9039,Cosine,2866,-,27.995,6329 (-) 2866,2866,6329,2866,FALSE,-,6329 (-) 2866
-1,1,,1,Cosine,1,-,0,48218 (-) 48218,48218,48218,1,FALSE,-,48218 (-) 48218
-1,1,,1,Cosine,1,-,0,10311 (-) 10311,10311,10311,1,FALSE,-,10311 (-) 10311
-1,1,,1,Cosine,1,-,0,36102 (-) 36102,36102,36102,1,FALSE,-,36102 (-) 36102
-1,1,,1,Cosine,1,-,0,17649 (-) 17649,17649,17649,1,FALSE,-,17649 (-) 17649
-1,1,,1,Cosine,1,-,0,51139 (-) 51139,51139,51139,1,FALSE,-,51139 (-) 51139
-1,0.9845,,0.9845,Cosine,6144,-,0,6144 (-) 6972,6144,6972,6144,FALSE,-,6144 (-) 6972
-1,1,,1,Cosine,1,-,0,44609 (-) 44609,44609,44609,1,FALSE,-,44609 (-) 44609
-1,0.9675,,0.9675,Cosine,24870,-,-0.036,40661 (-) 24870,24870,40661,24870,FALSE,-,40661 (-) 24870
-1,1,,1,Cosine,1,-,0,24527 (-) 24527,24527,24527,1,FALSE,-,24527 (-) 24527
-1,0.9035,adduct_rel_H_NH4 or NH3,0.9035,Cosine,51448,-,-17.027,51448 (-) 51472,51448,51472,51448,FALSE,-,51448 (-) 51472
-1,1,,1,Cosine,1,-,0,4944 (-) 4944,4944,4944,1,FALSE,-,4944 (-) 4944
-1,1,,1,Cosine,24951,-,-0.005,24951 (-) 25142,24951,25142,24951,FALSE,-,24951 (-) 25142
-1,1,,1,Cosine,1,-,0,20547 (-) 20547,20547,20547,1,FALSE,-,20547 (-) 20547
-1,1,,1,Cosine,1,-,0,41240 (-) 41240,41240,41240,1,FALSE,-,41240 (-) 41240
-1,0.8798,,0.8798,Cosine,51901,-,0,52095 (-) 51901,51901,52095,51901,FALSE,-,52095 (-) 51901
-1,1,,1,Cosine,1,-,0,41283 (-) 41283,41283,41283,1,FALSE,-,41283 (-) 41283
-1,1,,1,Cosine,1,-,0,47619 (-) 47619,47619,47619,1,FALSE,-,47619 (-) 47619
-1,0.8673,,0.8673,Cosine,14016,-,0,14016 (-) 15982,14016,15982,14016,FALSE,-,14016 (-) 15982
-1,0.9311,,0.9311,Cosine,14016,-,0,14016 (-) 20583,14016,20583,14016,FALSE,-,14016 (-) 20583
-1,1,,1,Cosine,1,-,0,49035 (-) 49035,49035,49035,1,FALSE,-,49035 (-) 49035
