row ID,Tributylamine,Diuron,Flufenacet,Metoprolol acid,Triphenylphosphate,Imidacloprid,5-Metolachlor,Tris(2-chloroetyl)phosphate,N-Butylbenzesulfonamide,Metformin,Terbutryn,Losartan,N-Guanylurea,Bezafibrat,Tris(2-chloroisopropyl)phosphate,2-Hydroxybenzothiazole,Valsartansaeure,Sulfamethoxazol,Primidone,"1,3-Diphenylguanidine",Venlafaxine,Metoprolol Tartrate,o-Desmethylvenlafaxine,DEET,Irbesartan,Olmesartan,Carbamazepine,Gabapentin-Lactam,Caffeine,5-Methyl-benzotriazol,Hexa(methoxymethyl)melamine,Hydrochlorothiazid,Benzothiazol-2-sulfonic acid,Valsartan,Benzotriazol,Formyaminoantipyrin
S17,0,0,0,0,0.008146766,0,0,0.008076743,0.062196129,0.00052788,0.001291877,0.003669932,0,0.00461514,0,0,0.009786146,0.008810202,0.017311044,0.023308408,0.011400674,0.020129289,0.026359499,0.009475908,0.020306553,0.032328864,0.032558077,0.018851744,0.067728758,0.086497477,0.178372265,0.035963085,0.177548046,0.202651874,0.331088227,0.26511994
S18,0,0,0,0,0,0,0,0.009025184,0,0.000637811,0.001393172,0.00593467,0,0.005002389,0,0,0.014179889,0.012977706,0.020816015,0.024039644,0.01598018,0.029004197,0.037374901,0.008402129,0.027537702,0.040515286,0.042231014,0.020235701,0.074793542,0.073194985,0.209344038,0.05725358,0.182761625,0.21624,0.325397624,0.339774357
S19,0,0,0,0,0,0,0,0,0,0.000771261,0.00167004,0.0067106,0,0.005566658,0,0.043934739,0.016400639,0.011683989,0.022449562,0.024454373,0.018606129,0.034279267,0.028891005,0.013116233,0.03061998,0.045883587,0.04756207,0.022377232,0.0905491,0.061266745,0.25503867,0.069673274,0.233249524,0.230251599,0.23141063,0.381532066
N1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007751042,0,0,0,0,0,0,0,0,0.014027442,0.000497427,0.00104729,0,0.040206325,0,0,0
N2,0,0,0.002691345,0.001122941,0,0,0,0,0,0.003087488,0.001639074,0,0.007498786,0.004463733,0,0,0.005932275,0.011978865,0.007818703,0.005046873,0.012929822,0.011823365,0.015385238,0.009649122,0.019228003,0.013827177,0.021849375,0.03813472,0.018558431,0.073976265,0.021093546,0.06349775,0.119021706,0.074809468,0.211932942,0.205182428
N3,0,0,0,0.001224075,0,0,0,0,0,0.00173403,0.001893126,0,0.005313468,0,0,0,0.006950071,0.010026275,0.008461116,0.007890952,0.012496957,0.011603091,0.012376142,0.566196271,0.02367779,0.01444729,0.019885964,0.038480798,0.019395182,0.065846002,0.027314478,0.053522247,0.18905623,0.072204192,0.131048075,0.162268944
N4,0,0,0,0.001507787,0,0,0,0,0,0.002034691,0.002358579,0,0.009807185,0.003625845,0,0,0.006595482,0.013859444,0.010742275,0.00849386,0.016689569,0.016436344,0.018675667,0.080267647,0.022897814,0.015339452,0.02387258,0.057296652,0.018429008,0.081148692,0.03226488,0.075304895,0.153284822,0.075986442,0.220725801,0.240570834
N5,0,0,0,0.001257328,0,0,0,0,0,0.001763335,0.002962186,0,0.007829962,0.004288073,0,0,0.005568893,0.010175423,0.010704521,0.012332363,0.017355503,0.017124076,0.018089792,0.014432726,0.022268851,0.015166866,0.024462969,0.056533206,0.044010452,0.10391309,0.054488715,0.071902776,0.254113747,0.074476943,0.309891006,0.206460902
N6,0,0,0.00044446,0.001140959,0,0,0,0,0,0.001973638,0.003329407,0,0.00688107,0,0,0,0.00639394,0.012044326,0.011506377,0.016615877,0.019993424,0.022813434,0.024950693,0.018654936,0.031333901,0.021419644,0.026920676,0.061983323,0.044004872,0.123020059,0.079608801,0.107862678,0.265486717,0.087516147,0.31654461,0.263933677
N7,0,0,0.000451204,0.001828712,0,0,0,0,0,0.00263352,0.004761585,0.00566391,0.010038187,0.006008805,0,0.028335373,0.007002153,0.021354784,0.014302621,0.024421783,0.0322641,0.033530002,0.031161346,0.015747163,0.037414457,0.028058304,0.038780175,0.069470734,0.062061949,0.232424853,0.078418916,0.138281607,0.367283298,0.152845335,0.521333491,0.363967133
N8,0,0,0.000515708,0.001815675,0,0,0,0,0,0.002667845,0.004114352,0,0.007607822,0.005783612,0,0.026367967,0.006247145,0.021013693,0.013504446,0.023181351,0.030470871,0.034590109,0.027896551,0.014533937,0.032127869,0.026100928,0.036137771,0.065826373,0.063183541,0.239475547,0.076158195,0.091948885,0.347635502,0.134734411,0.568899406,0.326629881
N9,0,0,0.000531662,0.003340433,0,0,0.027964052,0,0,0.003304198,0.003839172,0,0.008877483,0.004876888,0,0,0.009585646,0.031314745,0.01419895,0.021892834,0.026851354,0.039044544,0.030203389,0.012707129,0.027587235,0.022779756,0.033689449,0.064671073,0.051141649,0.2188851,0.167805403,0.062537614,0.369161822,0.120475383,0.653448223,0.357136043
N10,0,0,0.000864509,0.001400301,0,0,0,0,0,0.002166632,0.003106454,0,0.004780309,0.004137411,0.090365439,0,0.005917238,0.010472921,0.011318468,0.013253081,0.014520769,0.022042039,0.011752649,0.009911029,0.020467634,0.015755339,0.026363778,0.050348231,0.052854389,0.122316343,0.235995904,0.055045541,0.302604994,0.096107318,0.249524539,0.220696817
N11,0,0,0.00079027,0,0,0,0,0,0,0.001623763,0.003303017,0,0.004188554,0.003884344,0,0,0.003303927,0.009107444,0.010505031,0.015574485,0.019583955,0.021855245,0.01557187,0.009474405,0.019762267,0.015917631,0.025991926,0.045043157,0.069394027,0.142814499,0.241898803,0.053947712,0.249776208,0.099090309,0.341292612,0.164395762
N12,0,0,0.001083792,0.001191412,0,0,0,0,0,0.002296418,0.00338349,0,0,0.003827834,0,0.023042379,0.003838687,0.013076823,0.010722529,0.015819623,0.021540839,0.022487493,0.016733121,0.012320546,0.020446306,0.016742286,0.027609265,0.044190768,0.080943245,0.136921427,0.19582392,0.049516327,0.273528158,0.09619101,0.282782262,0.217657572
Eyach,0,0,0,0.001575316,0,0,0,0,0,0.001235791,0.002964764,0,0.00932744,0.004173657,0,0,0.005840363,0.01339103,0.010641675,0.007603229,0.009750851,0.01978882,0.01083642,0.010702864,0.021794226,0.014746273,0.024921828,0.041359277,0.022439438,0.023874091,0.020682045,0.090858735,0.133039016,0.073294746,0.09081568,0.276780642
Fils,0,0,0,0.002551847,0,0,0,0,0,0.00311682,0.003157208,0,0.017093096,0.004078721,0,0,0.008102279,0.015887163,0.016890686,0.006315126,0.023445079,0.040042638,0.02645596,0.011353058,0.025471855,0.019622316,0.047952664,0.106960564,0.156053128,0.213577712,0.027739181,0.097354923,0.182017752,0.072438123,0.461929357,0.50834376
Rems,0,0,0,0.002251965,0,0,0,0.006438194,0,0.002365239,0.008237814,0,0.016406687,0.005074194,0.093058393,0.027018451,0.010537975,0.023208683,0.02868252,0.014300539,0.051545971,0.062448067,0.039275999,0.022985711,0.05230124,0.055632737,0.079262226,0.0997208,0.064219124,0.208302294,0.044843159,0.154209078,0.263309559,0.342498524,0.448169325,0.542739076
Murr,0,0,0,0.002302376,0,0.002912002,0,0,0,0.002535125,0.006509094,0.01959443,0.007517399,0.016342625,0.091149548,0,0.009674848,0.016389719,0.026874906,0.009029043,0.041647392,0.05295434,0.04097956,0.035125149,0.037787471,0.034912575,0.043083669,0.093885655,0.101311836,0.078186409,0.033372203,0.215110987,0.219737528,0.148247996,0.157059576,0.423143854
Enz,0,0,0,0.001338259,0,0,0,0,0,0.001745086,0.002390151,0,0.009429072,0.004043339,0,0,0.003537155,0.017093955,0.018393357,0,0.018950532,0.029386849,0.022447925,0.012227077,0.031865984,0.02379642,0.036737078,0.075171602,0.024885422,0.129750825,0.775166723,0.086473431,0.173348364,0.058036471,0.275437976,0.261629867
Kocher,0,0,0,0.001207403,0,0,0,0,0,0.001781697,0.001454942,0,0,0,0,0,0.004826066,0.008020834,0.00719073,0.007719119,0.009470374,0.012217775,0.008089799,0.004840671,0.011433089,0.008653672,0.016787209,0.046697132,0.079648411,0.054324914,0.020801834,0.025984133,0.196579706,0.047053932,0.180185756,0.122866588
Jagst,0,0,0.000606649,0,0,0,0.006356162,0,0,0.000899643,0.000810613,0,0,0,0,0,0,0.003220807,0.004209586,0.004554381,0.006626095,0.006721469,0.00739211,0.00664497,0.009666789,0.004458813,0.008939671,0.023068377,0.029676064,0.024166912,0.016558184,0,0.144582512,0.032707362,0.053661488,0.072780356
Elsenz,0,0.005747498,0.001088382,0.00257255,0,0,0,0,0,0.001445304,0.004224293,0,0.008461813,0.006808449,0,0.026462456,0.003079496,0.010237321,0.019425498,0.016370979,0.033947151,0.052271174,0.032398374,0.011917084,0.041486597,0.036783441,0.036459195,0.05634597,0.075021618,0.051320294,0.029026064,0.145168771,0.139915661,0.487000047,0.157169557,0.329759268
